Date,Open,High,Low,Close,Adj Close,Volume
2024-04-08,186.899994,187.289993,184.809998,185.190002,185.190002,39221300
2024-04-09,187.240005,187.339996,184.199997,185.669998,185.669998,36546900
2024-04-10,182.770004,186.270004,182.669998,185.949997,185.949997,35879200
2024-04-11,186.740005,189.770004,185.509995,189.050003,189.050003,40020700
2024-04-12,187.720001,188.380005,185.080002,186.130005,186.130005,38554300
2024-04-15,187.429993,188.690002,183.000000,183.619995,183.619995,48052400
2024-04-16,183.270004,184.830002,182.259995,183.320007,183.320007,32891300
2024-04-17,184.309998,184.570007,179.820007,181.279999,181.279999,31359700
2024-04-18,181.470001,182.389999,178.649994,179.220001,179.220001,30723800
2024-04-19,178.740005,179.000000,173.440002,174.630005,174.630005,55950000
2024-04-22,176.940002,178.869995,174.559998,177.229996,177.229996,37924900
2024-04-23,178.080002,179.929993,175.979996,179.539993,179.539993,37046500
2024-04-24,179.940002,180.320007,176.179993,176.589996,176.589996,34185100
2024-04-25,169.679993,173.919998,166.320007,173.669998,173.669998,49249400
2024-04-26,177.800003,180.820007,176.130005,179.619995,179.619995,43919800
2024-04-29,182.750000,183.529999,179.389999,180.960007,180.960007,54063900
2024-04-30,181.089996,182.990005,174.800003,175.000000,175.000000,94639800
2024-05-01,181.639999,185.149994,176.559998,179.000000,179.000000,94645100
2024-05-02,180.850006,185.100006,179.910004,184.720001,184.720001,54303500
2024-05-03,186.990005,187.869995,185.419998,186.210007,186.210007,39172000
2024-05-06,186.279999,188.750000,184.800003,188.699997,188.699997,34725300
2024-05-07,188.919998,189.940002,187.309998,188.759995,188.759995,34048900
2024-05-08,187.440002,188.429993,186.389999,188.000000,188.000000,26136400
2024-05-09,188.880005,191.699997,187.440002,189.500000,189.500000,43368400
2024-05-10,189.160004,189.889999,186.929993,187.479996,187.479996,34141800
2024-05-13,188.000000,188.309998,185.360001,186.570007,186.570007,24898600
2024-05-14,183.820007,187.720001,183.449997,187.070007,187.070007,38698200
2024-05-15,185.970001,186.720001,182.729996,185.990005,185.990005,75459900
2024-05-16,185.600006,187.309998,183.460007,183.630005,183.630005,38834500
2024-05-17,183.759995,185.300003,183.350006,184.699997,184.699997,33175700
2024-05-20,184.339996,186.669998,183.279999,183.539993,183.539993,30511800
2024-05-21,182.300003,183.259995,180.750000,183.149994,183.149994,50839100
2024-05-22,183.880005,185.220001,181.970001,183.130005,183.130005,28148800
2024-05-23,183.660004,184.759995,180.080002,181.050003,181.050003,33670200
2024-05-24,181.649994,182.440002,180.300003,180.750000,180.750000,27434100
2024-05-28,179.929993,182.240005,179.490005,182.149994,182.149994,29927000
2024-05-29,181.699997,184.080002,181.550003,182.020004,182.020004,32009300
2024-05-30,181.309998,181.339996,178.360001,179.320007,179.320007,29249200
2024-05-31,178.300003,179.210007,173.869995,176.440002,176.440002,58903900
2024-06-03,177.699997,178.699997,175.919998,178.339996,178.339996,30786600
2024-06-04,177.639999,179.820007,176.440002,179.339996,179.339996,27198400
2024-06-05,180.100006,181.500000,178.750000,181.279999,181.279999,32116400
2024-06-06,181.750000,185.000000,181.490005,185.000000,185.000000,31371200
2024-06-07,184.899994,186.289993,183.360001,184.300003,184.300003,28021500
2024-06-10,184.070007,187.229996,183.789993,187.059998,187.059998,34494500
2024-06-11,187.059998,187.770004,184.539993,187.229996,187.229996,27265100
2024-06-12,188.020004,188.350006,185.429993,186.889999,186.889999,33984200
2024-06-13,186.089996,187.669998,182.669998,183.830002,183.830002,39721500
2024-06-14,183.080002,183.720001,182.229996,183.660004,183.660004,25456400
2024-06-17,182.520004,185.000000,181.220001,184.059998,184.059998,35601900
2024-06-18,183.740005,184.289993,181.429993,182.809998,182.809998,36659200
2024-06-20,182.910004,186.509995,182.720001,186.100006,186.100006,44726800
2024-06-21,187.800003,189.279999,185.860001,189.080002,189.080002,72931800
2024-06-24,189.330002,191.000000,185.330002,185.570007,185.570007,50610400
2024-06-25,186.809998,188.839996,185.419998,186.339996,186.339996,45898500
2024-06-26,186.919998,194.800003,186.259995,193.610001,193.610001,65103900
2024-06-27,195.009995,199.839996,194.199997,197.850006,197.850006,74397500
2024-06-28,197.729996,198.850006,192.500000,193.250000,193.250000,76930200
2024-07-01,193.490005,198.300003,192.820007,197.199997,197.199997,41192000
2024-07-02,197.279999,200.429993,195.929993,200.000000,200.000000,45600000
2024-07-03,199.940002,200.029999,196.759995,197.589996,197.589996,31597900
2024-07-05,198.649994,200.550003,198.169998,200.000000,200.000000,39809000
