Date,predicted_mean
2010-01-01,71.67416323882541
2010-02-01,70.11070735348862
2010-03-01,64.10180681891423
2010-04-01,33.47906486689516
2010-05-01,8.723425919213891
2010-06-01,0.9282448089307364
2010-07-01,0.7385675931597001
2010-08-01,3.592933461560168
2010-09-01,3.5929334615601154
2010-10-01,7.075259821008556
2010-11-01,29.73892481610759
2010-12-01,66.77938615611063
2011-01-01,54.964382243043644
2011-02-01,58.6671970647734
2011-03-01,64.58559238292038
2011-04-01,17.948661442875782
2011-05-01,6.072681902159955
2011-06-01,1.2085978659423446
2011-07-01,0.9616334057124187
2011-08-01,4.6780888751917775
2011-09-01,4.678088875191795
2011-10-01,6.191915424945141
2011-11-01,12.142628693121193
2011-12-01,23.825217732493137
2012-01-01,82.37591846950522
2012-02-01,61.20636663260014
2012-03-01,28.170323135108696
2012-04-01,31.61652568793901
2012-05-01,2.3079096440952522
2012-06-01,-0.1582706548485654
2012-07-01,1.0111890372624432
2012-08-01,4.919163745595454
2012-09-01,4.919163745595424
2012-10-01,2.9785779092149394
2012-11-01,26.653655693231446
2012-12-01,80.02359064514178
2013-01-01,72.0888757223544
2013-02-01,73.19304287271957
2013-03-01,47.71923939776961
2013-04-01,22.469821537176635
2013-05-01,8.167313012120353
2013-06-01,1.0128562386829347
2013-07-01,1.1781112920617467
2013-08-01,5.7311957929015
2013-09-01,5.731195792901531
2013-10-01,1.7382831722136647
2013-11-01,9.998044905640093
2013-12-01,23.84445689946233
2014-01-01,92.67497710400337
2014-02-01,87.30072907776825
2014-03-01,52.80142666814341
2014-04-01,35.509869922261004
2014-05-01,7.188552359519209
2014-06-01,0.7388868434511341
2014-07-01,1.271921384661701
2014-08-01,6.187556759529736
2014-09-01,6.1875567595297625
2014-10-01,2.2503814132190954
2014-11-01,28.101510397315913
2014-12-01,73.15820043455611
2015-01-01,99.55780975140144
2015-02-01,79.17591635446993
2015-03-01,55.288132964365516
2015-04-01,24.236577216258933
2015-05-01,8.971367642141667
2015-06-01,1.2482176077232112
2015-07-01,1.4127011175401363
2015-08-01,6.87241244187092
2015-09-01,6.872412441870973
2015-10-01,5.145336693388679
2015-11-01,25.31773465030171
2015-12-01,49.06692512089991
2016-01-01,117.95902208870092
2016-02-01,95.30890714545794
2016-03-01,75.64315523417372
2016-04-01,32.86843574308256
2016-05-01,1.207510484827
2016-06-01,1.2939603877920365
2016-07-01,1.5242569271788644
2016-08-01,7.415101567408822
2016-09-01,7.41510156740887
2016-10-01,6.623949382103855
2016-11-01,18.37523872820237
2016-12-01,62.485029562369135
2017-01-01,90.4637251553745
2017-02-01,102.96176456056068
2017-03-01,57.63291355030294
2017-04-01,34.98273229249263
2017-05-01,7.658526553767522
2017-06-01,1.2232461193598403
2017-07-01,1.6539885630614455
2017-08-01,8.046211217902925
2017-09-01,8.04621121790296
2017-10-01,5.056998842755835
2017-11-01,26.59728213441624
2017-12-01,52.98960927158811
2018-01-01,37.04411925796134
2018-02-01,62.27678458155782
2018-03-01,79.73112214637875
2018-04-01,21.86813516997342
2018-05-01,5.24061718925023
2018-06-01,1.1956533122376158
2018-07-01,1.772475681228208
2018-08-01,7.883395133147956
2018-09-01,7.8833951331479835
2018-10-01,8.268853405177722
2018-11-01,21.462190523927944
2018-12-01,82.91072592706517
2019-01-01,76.10009353757462
2019-02-01,96.95711394069765
2019-03-01,38.421468187743095
2019-04-01,37.64669252678459
2019-05-01,8.729902657606864
2019-06-01,1.5254490049587783
2019-07-01,1.8977782090349402
2019-08-01,8.892013562006952
2019-09-01,8.892013562006973
2019-10-01,9.318294885198375
2019-11-01,15.464898738463322
2019-12-01,82.96652156798707
2020-01-01,48.32646148610879
2020-02-01,25.572164867890855
2020-03-01,58.42056175066155
2020-04-01,38.31621114771293
2020-05-01,-1.755402534051072
2020-06-01,1.676698042265672
2020-07-01,2.018845997472964
2020-08-01,9.30614179280764
2020-09-01,9.306141792807665
2020-10-01,11.484884264031159
2020-11-01,9.95087283061466
2020-12-01,81.20971051259178
2021-01-01,86.93693319205131
2021-02-01,89.00861174179424
2021-03-01,40.979272762329984
2021-04-01,29.399480727543114
2021-05-01,6.065811835734987
2021-06-01,1.9168571320871188
2021-07-01,2.142387034542418
2021-08-01,10.05030087570606
2021-09-01,10.050300875706084
2021-10-01,12.905215058293003
2021-11-01,17.165315970047235
2021-12-01,93.4926803824817
2022-01-01,53.28136969464802
2022-02-01,75.13517948039022
2022-03-01,55.87204210128539
2022-04-01,44.513745921879206
2022-05-01,4.996125434075162
